Signal,m,tau,run,N_eff,M_mean,D_local,TE_fwd
gaussian_white_noise,2,5,85,995,0.04284243283935307,2.258506447072261,0.0033704977861193086
gaussian_white_noise,2,5,86,995,0.05534230693912434,2.3007489153079894,0.024853278535611256
gaussian_white_noise,2,5,87,995,0.13323039527198421,2.281179825885038,0.029597384058098086
gaussian_white_noise,2,5,88,995,0.05872371495539053,2.3348043222248593,0.0
gaussian_white_noise,2,5,89,995,0.08271001686002855,2.2784561337040263,0.03269237763917143
gaussian_white_noise,2,5,90,995,0.057112763414447265,2.222442862338807,0.002063176809320222
gaussian_white_noise,2,5,91,995,0.08941537023870794,2.3148403027133457,0.0
gaussian_white_noise,2,5,92,995,0.08954989992285434,2.303939609634798,0.0
gaussian_white_noise,2,5,93,995,0.021429303047951542,2.2656986695243937,0.009016116673212782
gaussian_white_noise,2,5,94,995,0.07976685289986207,2.329182986957095,0.0
gaussian_white_noise,2,5,95,995,0.011200677351242305,2.333972172208177,0.0
gaussian_white_noise,2,5,96,995,0.038263427970240294,2.2955722135855785,0.0
gaussian_white_noise,2,5,97,995,0.05259811855206209,2.2625292569446858,0.0
gaussian_white_noise,2,5,98,995,0.057071287421171846,2.3030443758239203,0.002425073278523815
gaussian_white_noise,2,5,99,995,0.030907846940332995,2.2985378028253316,0.0
gaussian_white_noise,2,10,0,990,0.08435216926630318,2.2935450351186737,0.0
gaussian_white_noise,2,10,1,990,0.09759160341992512,2.3329659756997496,0.0
gaussian_white_noise,2,10,2,990,0.010746164972647243,2.2917659310801595,0.0
gaussian_white_noise,2,10,3,990,0.0796581057221486,2.2952312836518773,0.003735345469381368
gaussian_white_noise,2,10,4,990,0.06644953732584202,2.3136885662536595,0.0
gaussian_white_noise,2,10,5,990,0.07441164041910842,2.289204059652221,0.0
gaussian_white_noise,2,10,6,990,0.03755367619450478,2.280949693873975,0.0
gaussian_white_noise,2,10,7,990,0.10892459799340504,2.306902985147821,0.0
gaussian_white_noise,2,10,8,990,0.050267310393890874,2.2622464551366783,0.0
gaussian_white_noise,2,10,9,990,0.048305082410224465,2.267996805650264,0.0
gaussian_white_noise,2,10,10,990,0.05069942438677888,2.257810112774473,0.0
gaussian_white_noise,2,10,11,990,0.09072214917402377,2.2984631067256522,0.03680003391077591
gaussian_white_noise,2,10,12,990,0.07623441873255032,2.2601368428522526,0.0
gaussian_white_noise,2,10,13,990,0.01369973135956748,2.3058737147948594,0.0
gaussian_white_noise,2,10,14,990,0.09553400380805321,2.276962946796798,0.0
gaussian_white_noise,2,10,15,990,0.037186667970117604,2.3088848994256868,0.0
gaussian_white_noise,2,10,16,990,0.09736898289208185,2.289017366717527,0.004396992471630501
gaussian_white_noise,2,10,17,990,0.1375449656124461,2.3284206015584825,0.003172905571329654
gaussian_white_noise,2,10,18,990,0.09166327824438447,2.2528531764688435,0.024162238314578754
gaussian_white_noise,2,10,19,990,0.05409555885395534,2.3269868967704213,0.028195633484489946
gaussian_white_noise,2,10,20,990,0.036628649807873614,2.291940997828311,0.0
gaussian_white_noise,2,10,21,990,0.0513466812607577,2.2613345992191154,0.0
gaussian_white_noise,2,10,22,990,0.04721326608568166,2.247268658961948,0.0
gaussian_white_noise,2,10,23,990,0.03647160414642148,2.259177132073922,0.0
gaussian_white_noise,2,10,24,990,0.07661323441835943,2.2886246373679175,0.0
